#Accession	Name	No_orfs	Coverage	Abundance	Description
COG0002	ArgC	1	0.997134	0.000272	Acetylglutamate semialdehyde dehydrogenase
COG0004	AmtB	1	0.97066	0.000264	Ammonia permease
COG0005	Pnp	2	1.843511	0.000502	Purine nucleoside phosphorylase
COG0006	PepP	8	6.726562	0.001834	Xaa-Pro aminopeptidase
COG0007	CysG	2	0.729508	0.000198	Uroporphyrinogen-III methylase
COG0008	GlnS	2	1.966101	0.000536	Glutamyl- and glutaminyl-tRNA synthetases
COG0009	SUA5	1	0.99526	0.000271	Putative translation factor (SUA5)
COG0010	SpeB	1	0.990163	0.00027	Arginase/agmatinase/formimionoglutamate hydrolase, arginase family
COG0011	COG0011	1	0.94	0.000256	Uncharacterized conserved protein
COG0012	COG0012	1	0.994623	0.000271	Predicted GTPase, probable translation factor
COG0013	AlaS	1	0.998862	0.000272	Alanyl-tRNA synthetase
COG0014	ProA	1	0.997601	0.000272	Gamma-glutamyl phosphate reductase
COG0015	PurB	2	1.984018	0.000541	Adenylosuccinate lyase
COG0016	PheS	1	0.997014	0.000271	Phenylalanyl-tRNA synthetase alpha subunit
COG0017	AsnS	2	1.995402	0.000544	Aspartyl/asparaginyl-tRNA synthetases
COG0018	ArgS	1	1	0.000272	Arginyl-tRNA synthetase
COG0019	LysA	3	1.812182	0.000494	Diaminopimelate decarboxylase
COG0020	UppS	2	1.877551	0.000512	Undecaprenyl pyrophosphate synthase
COG0021	TktA	1	0.995475	0.000271	Transketolase
COG0022	AcoB	1	1	0.000272	Pyruvate/2-oxoglutarate dehydrogenase complex, dehydrogenase (E1) component, eukaryotic type, beta subunit
COG0024	Map	1	0.980392	0.000267	Methionine aminopeptidase
COG0025	NhaP	1	0.913752	0.000249	NhaP-type Na+/H+ and K+/H+ antiporters
COG0028	IlvB	4	2.94909	0.000804	Thiamine pyrophosphate-requiring enzymes
COG0029	NadB	2	1.666023	0.000454	Aspartate oxidase
COG0030	KsgA	2	1.312741	0.000358	Dimethyladenosine transferase (rRNA methylation)
COG0031	CysK	1	1	0.000272	Cysteine synthase
COG0034	PurF	2	1.921276	0.000524	Glutamine phosphoribosylpyrophosphate amidotransferase
COG0035	Upp	1	1	0.000272	Uracil phosphoribosyltransferase
COG0036	Rpe	2	1.95	0.000531	Pentose-5-phosphate-3-epimerase
COG0037	MesJ	3	2.134228	0.000582	tRNA(Ile)-lysidine synthase MesJ
COG0038	EriC	1	0.986455	0.000269	Chloride channel protein EriC
COG0039	Mdh	1	0.984025	0.000268	Malate/lactate dehydrogenases
COG0040	HisG	1	0.731034	0.000199	ATP phosphoribosyltransferase
COG0041	PurE	1	0.993827	0.000271	Phosphoribosylcarboxyaminoimidazole (NCAIR) mutase
COG0042	COG0042	1	0.987616	0.000269	tRNA-dihydrouridine synthase
COG0043	UbiD	2	1.886792	0.000514	3-polyprenyl-4-hydroxybenzoate decarboxylase and related decarboxylases
COG0044	PyrC	8	6.760465	0.001844	Dihydroorotase and related cyclic amidohydrolases
COG0046	PurL	1	0.997308	0.000272	Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain
COG0047	PurL	1	0.991341	0.00027	Phosphoribosylformylglycinamidine (FGAM) synthase, glutamine amidotransferase domain
COG0048	RpsL	1	0.953488	0.00026	Ribosomal protein S12
COG0051	RpsJ	1	0.990384	0.00027	Ribosomal protein S10
COG0052	RpsB	1	0.996031	0.000271	Ribosomal protein S2
COG0053	MMT1	4	2.805921	0.000765	Predicted Co/Zn/Cd cation transporters
COG0054	RibH	1	0.986842	0.000269	Riboflavin synthase beta-chain
COG0055	AtpD	1	0.995726	0.000271	F0F1-type ATP synthase, beta subunit
COG0056	AtpA	1	0.940476	0.000256	F0F1-type ATP synthase, alpha subunit
COG0057	GapA	1	0.988059	0.000269	Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase
COG0058	GlgP	2	1.972	0.000537	Glucan phosphorylase
COG0059	IlvC	1	0.991124	0.00027	Ketol-acid reductoisomerase
COG0060	IleS	1	0.979635	0.000267	Isoleucyl-tRNA synthetase
COG0061	nadF	1	0.718861	0.000196	NAD kinase
COG0062	COG0062	1	1	0.000272	Uncharacterized conserved protein
COG0063	COG0063	1	0.90845	0.000247	Predicted sugar kinase
COG0064	GatB	1	0.997929	0.000272	Asp-tRNAAsn/Glu-tRNAGln amidotransferase B subunit (PET112 homolog)
COG0065	LeuC	3	1.917257	0.000522	3-isopropylmalate dehydratase large subunit
COG0066	LeuD	1	0.921465	0.000251	3-isopropylmalate dehydratase small subunit
COG0067	GltB	1	0.997304	0.000272	Glutamate synthase domain 1
COG0069	GltB	3	1.552577	0.000423	Glutamate synthase domain 2
COG0070	GltB	1	1	0.000272	Glutamate synthase domain 3
COG0071	IbpA	3	2.69178	0.000734	Molecular chaperone (small heat shock protein)
COG0072	PheT	1	0.998461	0.000272	Phenylalanyl-tRNA synthetase beta subunit
COG0073	ARC1	3	2.902439	0.000791	EMAP domain
COG0074	SucD	1	0.754266	0.000205	Succinyl-CoA synthetase, alpha subunit
COG0075	COG0075	1	0.939947	0.000256	Serine-pyruvate aminotransferase/archaeal aspartate aminotransferase
COG0077	PheA	1	0.964157	0.000263	Prephenate dehydratase
COG0078	ArgF	2	1.970967	0.000537	Ornithine carbamoyltransferase
COG0079	HisC	2	1.957865	0.000534	Histidinol-phosphate/aromatic aminotransferase and cobyric acid decarboxylase
COG0080	RplK	1	0.985815	0.000268	Ribosomal protein L11
COG0081	RplA	1	0.995614	0.000271	Ribosomal protein L1
COG0082	AroC	1	0.975609	0.000266	Chorismate synthase
COG0084	TatD	1	0.996093	0.000271	Mg-dependent DNase
COG0086	RpoC	2	1.407178	0.000383	DNA-directed RNA polymerase, beta' subunit/160 kD subunit
COG0087	RplC	1	0.977064	0.000266	Ribosomal protein L3
COG0088	RplD	1	0.985981	0.000268	Ribosomal protein L4
COG0089	RplW	1	0.989361	0.000269	Ribosomal protein L23
COG0090	RplB	1	0.992727	0.00027	Ribosomal protein L2
COG0091	RplV	1	0.975	0.000265	Ribosomal protein L22
COG0092	RpsC	1	0.888412	0.000242	Ribosomal protein S3
COG0093	RplN	1	1	0.000272	Ribosomal protein L14
COG0094	RplE	1	0.994444	0.000271	Ribosomal protein L5
COG0095	LplA	2	1.883064	0.000513	Lipoate-protein ligase A
COG0096	RpsH	1	1	0.000272	Ribosomal protein S8
COG0097	RplF	1	1	0.000272	Ribosomal protein L6P/L9E
COG0098	RpsE	1	0.928176	0.000253	Ribosomal protein S5
COG0099	RpsM	1	1	0.000272	Ribosomal protein S13
COG0100	RpsK	1	0.875968	0.000238	Ribosomal protein S11
COG0101	TruA	2	1.849624	0.000504	Pseudouridylate synthase
COG0102	RplM	1	0.952702	0.000259	Ribosomal protein L13
COG0103	RpsI	1	1	0.000272	Ribosomal protein S9
COG0104	PurA	1	0.988372	0.000269	Adenylosuccinate synthase
COG0106	HisA	2	0.983402	0.000268	Phosphoribosylformimino-5-aminoimidazole carboxamide ribonucleotide (ProFAR) isomerase
COG0107	HisF	2	1.386718	0.000378	Imidazoleglycerol-phosphate synthase
COG0108	RibB	1	0.990147	0.00027	3,4-dihydroxy-2-butanone 4-phosphate synthase
COG0110	WbbJ	5	4.594736	0.001253	Acetyltransferase (isoleucine patch superfamily)
COG0111	SerA	5	4.200617	0.001145	Phosphoglycerate dehydrogenase and related dehydrogenases
COG0112	GlyA	2	1.975786	0.000538	Glycine/serine hydroxymethyltransferase
COG0114	FumC	1	0.993506	0.000271	Fumarase
COG0115	IlvE	2	1.968309	0.000536	Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase
COG0116	COG0116	1	1	0.000272	Predicted N6-adenine-specific DNA methylase
COG0117	RibD	1	0.965753	0.000263	Pyrimidine deaminase
COG0118	HisH	1	0.970588	0.000264	Glutamine amidotransferase
COG0119	LeuA	1	0.772616	0.00021	Isopropylmalate/homocitrate/citramalate synthases
COG0120	RpiA	1	0.920704	0.000251	Ribose 5-phosphate isomerase
COG0122	AlkA	1	0.736842	0.0002	3-methyladenine DNA glycosylase/8-oxoguanine DNA glycosylase
COG0124	HisS	1	0.869463	0.000237	Histidyl-tRNA synthetase
COG0125	Tmk	1	0.951923	0.000259	Thymidylate kinase
COG0126	Pgk	1	0.997468	0.000272	3-phosphoglycerate kinase
COG0127	COG0127	1	1	0.000272	Xanthosine triphosphate pyrophosphatase
COG0128	AroA	1	0.969626	0.000264	5-enolpyruvylshikimate-3-phosphate synthase
COG0129	IlvD	4	3.728695	0.001017	Dihydroxyacid dehydratase/phosphogluconate dehydratase
COG0130	TruB	1	0.745387	0.000203	Pseudouridine synthase
COG0131	HisB	1	0.994871	0.000271	Imidazoleglycerol-phosphate dehydratase
COG0133	TrpB	2	1.977272	0.000539	Tryptophan synthase beta chain
COG0134	TrpC	1	0.996062	0.000271	Indole-3-glycerol phosphate synthase
COG0135	TrpF	1	0.990384	0.00027	Phosphoribosylanthranilate isomerase
COG0136	Asd	1	0.958083	0.000261	Aspartate-semialdehyde dehydrogenase
COG0137	ArgG	1	0.990074	0.00027	Argininosuccinate synthase
COG0138	PurH	2	0.246601	6.7e-05	AICAR transformylase/IMP cyclohydrolase PurH (only IMP cyclohydrolase domain in Aful)
COG0139	HisI	1	0.891891	0.000243	Phosphoribosyl-AMP cyclohydrolase
COG0140	HisI	1	0.945652	0.000257	Phosphoribosyl-ATP pyrophosphohydrolase
COG0141	HisD	2	0.889411	0.000242	Histidinol dehydrogenase
COG0142	IspA	1	0.993788	0.000271	Geranylgeranyl pyrophosphate synthase
COG0143	MetG	1	0.991039	0.00027	Methionyl-tRNA synthetase
COG0144	Sun	2	1.84507	0.000503	tRNA and rRNA cytosine-C5-methylases
COG0145	HyuA	3	2.655786	0.000724	N-methylhydantoinase A/acetone carboxylase, beta subunit
COG0146	HyuB	1	0.98579	0.000268	N-methylhydantoinase B/acetone carboxylase, alpha subunit
COG0147	TrpE	1	0.982683	0.000268	Anthranilate/para-aminobenzoate synthases component I
COG0148	Eno	2	1.921985	0.000524	Enolase
COG0149	TpiA	3	2.772908	0.000756	Triosephosphate isomerase
COG0150	PurM	1	0.956521	0.00026	Phosphoribosylaminoimidazole (AIR) synthetase
COG0151	PurD	1	0.99299	0.00027	Phosphoribosylamine-glycine ligase
